question,answer,generated_answer
<MedVQA>Does the endoscopy image contain a green/black box artefact?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>Does the endoscopy image contain a green/black box artefact?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>Does the endoscopy image contain a green/black box artefact?,"The abnormality in the image has colors including pink, blue, red, grey, and white.","The color of the abnormality is pink, red, and white."
<MedVQA>Does the endoscopy image contain a green/black box artefact?,An endoscopy procedure,A colonoscopy procedure
<MedVQA>Does the endoscopy image contain a green/black box artefact?,"The abnormality is located in multiple areas, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in a symmetrical pattern, with multiple colors including pink, red, and white."
<MedVQA>Does the endoscopy image contain a green/black box artefact?,The polyp is 11-20mm in size.,The polyp is approximately 5-10mm in size.
<MedVQA>Does the endoscopy image contain a green/black box artefact?,No,"No, the image does not contain any text."
<MedVQA>Does the endoscopy image contain a green/black box artefact?,Yes,"Yes, the image contains text."
<MedVQA>Is there text in the image?,No,"No, the image does not contain any text."
<MedVQA>Is there text in the image?,Oesophagitis,Oesophagitis
<MedVQA>Is there text in the image?,A gastroscopy procedure,A gastroscopy procedure
<MedVQA>Is there text in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>Is there text in the image?,Paris IIA,A Paris IIa type polyp
<MedVQA>Is there text in the image?,A polyp of type Paris IP is visible.,A Paris type polyp
<MedVQA>Is there text in the image?,A tube,A tube
<MedVQA>Is there text in the image?,One instrument is visible.,There are no instruments visible in the image.
<MedVQA>Is there text in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>Is there text in the image?,The abnormality is red and pink in color.,The abnormality has a grey color.
<MedVQA>Is there text in the image?,"The abnormality in the image is white, red, and pink in color.",The color of the abnormality is pink and red.
<MedVQA>Is there text in the image?,The color of the abnormality is pink.,The color of the abnormality is pink.
<MedVQA>Is there text in the image?,There are no instruments present.,There are no instruments visible in the image.
<MedVQA>Is there text in the image?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-left, upper right, lower-right, center-left and center-right."
<MedVQA>Is there text in the image?,A colonoscopy procedure,A colonoscopy procedure
<MedVQA>Is there text in the image?,"No, the image does not contain a green/black box artefact.","No, the image does not contain a green/black box artefact."
<MedVQA>Is there text in the image?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>Is there text in the image?,The polyp is 11-20mm in size.,The polyp is approximately 11-20mm in size.
<MedVQA>Is there text in the image?,There are no instruments visible.,There are no instruments visible in the image.
<MedVQA>Is there text in the image?,Endoscopy,A colonoscopy procedure
<MedVQA>What type of polyp is present?,A Paris-type polyp,A Paris type polyp is present.
<MedVQA>What type of polyp is present?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What type of polyp is present?,"The abnormality is located in the center, upper-right, center-right, and upper-center parts of the image.",The abnormality is located in the center and upper-center of the image.
<MedVQA>What type of polyp is present?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What type of polyp is present?,The box artefact is green/black.,The color of the box artefact is green/black.
<MedVQA>What type of polyp is present?,"Yes, the image contains text.","Yes, the image contains text."
<MedVQA>What type of polyp is present?,There are no instruments in the image.,There are no instruments present in the image.
<MedVQA>What type of polyp is present?,"The anomaly is located in the center, as well as in the upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center regions.",The anatomical is located in the center and upper-left.
<MedVQA>What type of polyp is present?,The polyp count is zero.,There are no polyps.
<MedVQA>What type of polyp is present?,The z-line,The z-line is visible in the image.
<MedVQA>What type of polyp is present?,"Yes, the image does not contain a green/black box artefact.","Yes, the image does not contain a green/black box artefact."
<MedVQA>What type of polyp is present?,Oesophagitis,Oesophagitis
<MedVQA>What type of polyp is present?,There are no instruments visible in the image.,There are no instruments visible in the image.
<MedVQA>What type of polyp is present?,"The abnormality appears with a pink, red, and white color scheme.","The abnormality has a pink, red, and white appearance."
<MedVQA>What type of polyp is present?,The polyp is between 11-20mm in size.,The polyp is approximately 11-20mm in size.
<MedVQA>What type of polyp is present?,"The abnormality is located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center.","The abnormality is located in multiple areas, including the center, upper-right, lower-left, lower right, center-left and center-right."
<MedVQA>What type of polyp is present?,There are no instruments visible.,There are no instruments visible.
<MedVQA>What type of polyp is present?,The polyp is greater than 20mm in size.,The polyp is approximately 11-20mm in size.
