caption,Q,A
Generate an image containing tube.,What is the type of instrument shown in the image?,a tube
Generate an image with no findings.,What is the result of the endoscopy procedure?,No findings were detected.
Generate an image with 1 instrument.,What is present in the image?,There is 1 instrument.
Generate an image with no polyps.,What is the polyp count in the image?,There are no polyps.
Generate an image not containing a green/black box artefact.,Does the endoscopy image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text present in the image?,"Yes, the image contains text."
Generate an image from a colonoscopy procedure.,What type of procedure is shown in this image?,A colonoscopy procedure.
Generate an image with an an instrument located in the upper-left and center-left.,What instruments are visible in the image?,"Two instruments are visible, one located in the upper-left and another in the center-left."
Generate an image containing ulcerative colitis.,What is the diagnosis of the patient?,Ulcerative colitis
Generate an image with 1 finding.,How many findings are present in the image?,There is 1 finding.
Generate an image with no instruments.,What can be seen in the image?,There are no instruments visible in the scene.
Generate an image with no polyps.,What is the number of polyps present in the image?,There are no polyps present in the image.
Generate an image not containing a green/black box artefact.,Does the image contain a green/black box artefact?,"No, the image does not contain a green/black box artefact."
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, red and white.",What is the typical color of the abnormality?,"The abnormality is typically pink, red and white in color."
Generate an image from a colonoscopy procedure.,What type of medical procedure is shown in the image?,A colonoscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located in multiple areas, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
Generate an image containing ulcerative colitis.,What is the condition depicted in the image?,Ulcerative colitis
Generate an image with 1 finding.,What is the number of findings in the image?,There is 1 finding
